,bType,pType,ranges,PA,AB,H,BB,1B,2B,3B,HR,R,K,SF,DP,Adv 2nd,SA,SB,AVG,OBP,ER6,,,,,
164,BC,All,NEW,417572,379077,113849,33800,67966,26178,5482,14223,55356,58322,4695,11002,5941,47555,28480,0.300332122,0.353589321,3.32136,,,3.331,3.302,3.318
191,BC,All,NEW,417343,379161,113583,33576,67677,26117,5509,14280,55075,58609,4606,10889,6032,47202,28275,0.299564037,0.352609245,3.3045,,,,,
218,BC,All,NEW,417985,379586,114029,33868,67940,26252,5370,14467,55491,58117,4531,11074,6021,47424,28586,0.300403598,0.353833272,3.32946,,Diffs,0.001,0.005,0.005
245,BC,All,NEW,416824,378990,113449,33362,67995,25632,5533,14289,55040,58172,4472,11090,5703,47237,28340,0.299345629,0.352213404,3.3024,,,,,
2,BC,All,OLD,417560,379536,113781,33633,67832,26051,5463,14435,54965,58858,4391,10605,4783,46778,28056,0.299789743,0.353036689,3.2979,,,,,
29,BC,All,OLD,417612,379822,114233,33295,68158,26311,5556,14208,55282,58506,4495,10709,4806,46363,27716,0.300754037,0.353265711,3.31692,,Old,High,Low,Avg
56,BC,All,OLD,417859,380117,114241,33229,67965,26305,5493,14478,55498,58131,4513,10559,4850,46412,27891,0.300541675,0.35291809,3.32988,,,3.330,3.298,3.312
83,BC,All,OLD,417554,379741,113997,33349,68181,25907,5358,14551,55102,58326,4464,10758,4711,46285,27764,0.300196713,0.352878909,3.30612,,-,-,-,-
110,BC,All,OLD,417354,379499,113622,33445,67797,26146,5383,14296,55188,58643,4410,10673,4633,46275,27747,0.299399998,0.352379515,3.31128,,-,-,-,-
135,BN,All,NEW,414104,376709,106091,33321,54626,29414,5465,16586,54830,72848,4074,8739,5569,41454,24885,0.28162587,0.33665939,3.2898,,New,High,Low,Avg
